name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Matthew Jackson,"Matthew Jackson is a B.Tech graduate with 5.9 years of experience in software development. They are proficient in technologies such as HTML, React, SQL, Node.js. Work Highlights: - Contributed to open-source project by submitting pull requests and reviewing code in Rust. - Designed and optimized SQL queries for a PostgreSQL database, improving report generation time by 15%.",B.Tech,Electronics,7.27,5.9,33,0
Duane Brown,"Duane Brown is a M.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as Django, HTML, Node.js, React, SQL. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",M.Tech,Electronics,7.57,3.8,29,0
Laurie Cruz,"Laurie Cruz is a B.Tech graduate with 5.2 years of experience in software development. They are proficient in technologies such as HTML, CSS, JavaScript, Django. Work Highlights: - Built a scalable data warehousing solution using Amazon Redshift and ETL processes. - Built a cross-platform mobile app using React Native, delivering a consistent user experience.",B.Tech,Information Technology,9.06,5.2,29,0
Zachary Andersen,"Zachary Andersen is a M.Tech graduate with 4.3 years of experience in software development. They are proficient in technologies such as CSS, C++, JavaScript. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Developed data validation and cleansing scripts in Python for a data migration project.",M.Tech,Information Technology,6.9,4.3,28,0
Sarah Tapia,"Sarah Tapia is a B.Tech graduate with 2.6 years of experience in software development. They are proficient in technologies such as CSS, React, Django, C++. Work Highlights: - Managed and optimized Elasticsearch clusters for full-text search capabilities. - Integrated payment gateways (PayPal, Square) into a customer-facing web portal.",B.Tech,Electronics,9.0,2.6,23,0
Ryan Ramirez,"Ryan Ramirez is a BSc graduate with 1.3 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, Java, HTML. Work Highlights: - Managed and maintained Helm charts for Kubernetes application deployments. - Developed a browser extension with JavaScript to enhance user productivity.",BSc,Computer Science,8.66,1.3,24,1
Kayla Thomas,"Kayla Thomas is a M.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as CSS, React, C++. Work Highlights: - Integrated payment gateways (PayPal, Square) into a customer-facing web portal. - Developed custom middleware for an Express.js application to handle request parsing.",M.Tech,Computer Science,6.62,2.3,24,0
Daniel Spencer,"Daniel Spencer is a BSc graduate with 0.5 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, CSS, C++, Python. Work Highlights: - Integrated Salesforce API for CRM data synchronization in an enterprise application. - Implemented A/B testing frameworks within a web application to optimize user engagement.",BSc,Computer Science,8.87,0.5,27,1
Walter Watson,"Walter Watson is a B.Tech graduate with 2.0 years of experience in software development. They are proficient in technologies such as React, HTML, Python, C++, Node.js, Java. Work Highlights: - Implemented secure REST endpoints and data encryption for a healthcare application. - Configured and managed virtual private clouds (VPCs) and subnets in AWS for network isolation.",B.Tech,Computer Science,6.79,2.0,24,0
Mark Castro,"Mark Castro is a B.Tech graduate with 0.1 years of experience in software development. They are proficient in technologies such as React, HTML, Python. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Developed command-line tools in Go for internal development workflows and automation.",B.Tech,Computer Science,6.94,0.1,27,0
Catherine Allison,"Catherine Allison is a M.Tech graduate with 4.7 years of experience in software development. They are proficient in technologies such as SQL, C++, Java, CSS, HTML. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Implemented distributed tracing with OpenTelemetry for microservices monitoring.",M.Tech,Computer Science,6.3,4.7,25,0
Eric Wright,"Eric Wright is a MSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as SQL, C++, CSS. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Configured load balancers and auto-scaling groups for high-traffic web applications.",MSc,Information Technology,6.45,5.9,34,0
Dennis Clark,"Dennis Clark is a B.Tech graduate with 0.7 years of experience in software development. They are proficient in technologies such as Python, Java, Node.js, C++. Work Highlights: - Built a real-time dashboard using Vue.js and WebSockets to display sensor data. - Automated testing of API endpoints using Postman and Newman for regression testing.",B.Tech,Information Technology,7.29,0.7,33,0
Megan Henderson,"Megan Henderson is a B.Tech graduate with 2.9 years of experience in software development. They are proficient in technologies such as Node.js, HTML, Python. Work Highlights: - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery. - Developed a desktop application using C# and WPF for internal tooling.",B.Tech,Information Technology,8.32,2.9,23,0
Christopher Martin,"Christopher Martin is a B.Tech graduate with 2.8 years of experience in software development. They are proficient in technologies such as Java, C++, Django. Work Highlights: - Integrated payment gateways (PayPal, Square) into a customer-facing web portal. - Assisted in the transition from SVN to Git, providing training and support to the development team.",B.Tech,Information Technology,6.31,2.8,21,0
James Adams,"James Adams is a MSc graduate with 1.8 years of experience in software development. They are proficient in technologies such as Java, HTML, JavaScript, Node.js, Python, C++. Work Highlights: - Developed a desktop application using Java Swing for inventory management. - Automated software releases using Git tags and release management tools.",MSc,Computer Science,6.67,1.8,22,0
James Cooper,"James Cooper is a BSc graduate with 0.1 years of experience in software development. They are proficient in technologies such as Django, Node.js, Java, Python. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Managed secrets and environment variables using AWS Secrets Manager.",BSc,Computer Science,7.63,0.1,25,0
Michael Chen,"Michael Chen is a MSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as React, Java, Python, Django, Node.js. Work Highlights: - Developed custom middleware for an Express.js application to handle request parsing. - Optimized Ruby on Rails application performance by refactoring ActiveRecord queries and caching strategies.",MSc,Information Technology,9.36,3.9,28,1
Lisa Jimenez,"Lisa Jimenez is a MSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as CSS, HTML, Django, C++. Work Highlights: - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability. - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations.",MSc,Electronics,7.12,4.8,31,0
Nathan Salinas,"Nathan Salinas is a MSc graduate with 2.6 years of experience in software development. They are proficient in technologies such as HTML, React, C++, CSS. Work Highlights: - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",MSc,Electronics,6.28,2.6,22,0
Cindy Gardner,"Cindy Gardner is a MSc graduate with 1.3 years of experience in software development. They are proficient in technologies such as HTML, C++, Python. Work Highlights: - Collaborated on an Android application development using Kotlin, improving UI responsiveness. - Implemented robust data validation rules and sanitization for user input in a web form.",MSc,Electronics,7.68,1.3,23,0
Lisa Barr,"Lisa Barr is a M.Tech graduate with 1.7 years of experience in software development. They are proficient in technologies such as Node.js, CSS, Python, React, C++. Work Highlights: - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",M.Tech,Computer Science,8.61,1.7,31,0
Mary Tucker,"Mary Tucker is a M.Tech graduate with 3.8 years of experience in software development. They are proficient in technologies such as Node.js, HTML, SQL. Work Highlights: - Managed and maintained Helm charts for Kubernetes application deployments. - Automated software releases using Git tags and release management tools.",M.Tech,Electronics,6.08,3.8,21,0
Brittney Randolph,"Brittney Randolph is a M.Tech graduate with 0.9 years of experience in software development. They are proficient in technologies such as CSS, HTML, Java. Work Highlights: - Integrated third-party authentication providers (Google, Facebook) into a web application. - Developed a component library with Storybook and React for consistent UI development.",M.Tech,Computer Science,9.69,0.9,27,0
Jose Prince,"Jose Prince is a MSc graduate with 5.5 years of experience in software development. They are proficient in technologies such as Django, Node.js, Java, JavaScript, React. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data.",MSc,Information Technology,6.19,5.5,28,0
Timothy Mann,"Timothy Mann is a B.Tech graduate with 3.1 years of experience in software development. They are proficient in technologies such as Python, CSS, SQL, Node.js, JavaScript. Work Highlights: - Managed and maintained Linux servers, ensuring system uptime and security. - Created serverless APIs using Azure Functions and C# for event-driven processing.",B.Tech,Electronics,8.26,3.1,27,1
Eric Underwood,"Eric Underwood is a MSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as Node.js, Python, React. Work Highlights: - Automated testing of API endpoints using Postman and Newman for regression testing. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",MSc,Computer Science,6.77,5.9,22,0
Amanda Vaughn,"Amanda Vaughn is a MSc graduate with 2.9 years of experience in software development. They are proficient in technologies such as Java, Django, C++, CSS. Work Highlights: - Developed a command-line interface (CLI) tool in Python for cloud resource management. - Contributed to the design and implementation of a new database indexing strategy.",MSc,Electronics,7.46,2.9,30,0
Kathryn Carr,"Kathryn Carr is a BSc graduate with 4.0 years of experience in software development. They are proficient in technologies such as C++, Node.js, Django, SQL, Python, React. Work Highlights: - Developed interactive data visualizations using D3.js for business intelligence dashboards. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",BSc,Electronics,7.58,4.0,34,0
Nicholas Deleon,"Nicholas Deleon is a MSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as Node.js, Python, Django. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Developed custom middleware for an Express.js application to handle request parsing.",MSc,Computer Science,9.38,5.1,28,0
Connie Griffin,"Connie Griffin is a MSc graduate with 1.8 years of experience in software development. They are proficient in technologies such as Django, C++, Python, React, SQL, Node.js. Work Highlights: - Automated software releases using Git tags and release management tools. - Managed relational and NoSQL databases (Cassandra, Redis) in production environments.",MSc,Computer Science,9.73,1.8,34,0
Amanda White,"Amanda White is a B.Tech graduate with 5.4 years of experience in software development. They are proficient in technologies such as Node.js, JavaScript, Django, C++, CSS, Python. Work Highlights: - Developed a component library with Storybook and React for consistent UI development. - Automated software releases using Git tags and release management tools.",B.Tech,Information Technology,9.06,5.4,34,1
Charles Russo,"Charles Russo is a B.Tech graduate with 3.4 years of experience in software development. They are proficient in technologies such as JavaScript, Django, Node.js. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Developed a custom analytics dashboard using Power BI, integrating with various data sources.",B.Tech,Information Technology,6.19,3.4,25,0
Mrs. Desiree Gonzales DDS,"Mrs. Desiree Gonzales DDS is a M.Tech graduate with 3.1 years of experience in software development. They are proficient in technologies such as C++, Java, Python. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Led the migration of a monolithic application to a microservices architecture using Kubernetes.",M.Tech,Information Technology,6.91,3.1,31,0
Kyle Davidson,"Kyle Davidson is a M.Tech graduate with 5.5 years of experience in software development. They are proficient in technologies such as Java, Node.js, React, C++, JavaScript. Work Highlights: - Contributed to the design and implementation of a new database indexing strategy. - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery.",M.Tech,Electronics,8.8,5.5,23,1
Chase Fry,"Chase Fry is a B.Tech graduate with 4.4 years of experience in software development. They are proficient in technologies such as CSS, Java, JavaScript, HTML. Work Highlights: - Built a scalable data warehousing solution using Amazon Redshift and ETL processes. - Optimized database connection pooling and transaction management in a Java application.",B.Tech,Computer Science,8.17,4.4,33,1
Richard Zuniga,"Richard Zuniga is a BSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as Django, Python, Node.js, HTML, C++, React. Work Highlights: - Designed and implemented a distributed caching layer using Redis for frequently accessed data. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",BSc,Information Technology,8.99,4.8,35,0
Michael Johnson,"Michael Johnson is a MSc graduate with 1.6 years of experience in software development. They are proficient in technologies such as SQL, Django, JavaScript, CSS, React, Python. Work Highlights: - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform. - Configured and managed Kubernetes Ingress controllers for external access.",MSc,Information Technology,8.16,1.6,33,1
Craig Reed,"Craig Reed is a BSc graduate with 5.5 years of experience in software development. They are proficient in technologies such as CSS, Python, Django, C++, JavaScript, React. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Developed a desktop application using C# and WPF for internal tooling.",BSc,Electronics,8.43,5.5,21,1
Bryan Bell,"Bryan Bell is a B.Tech graduate with 2.1 years of experience in software development. They are proficient in technologies such as Node.js, React, Python, SQL, C++. Work Highlights: - Developed a component library with Storybook and React for consistent UI development. - Implemented robust caching strategies using Memcached for frequently accessed data.",B.Tech,Electronics,8.58,2.1,34,1
Kristin Smith,"Kristin Smith is a MSc graduate with 1.2 years of experience in software development. They are proficient in technologies such as SQL, Node.js, Django, Python. Work Highlights: - Designed and implemented a robust error reporting mechanism with Sentry. - Designed and implemented a distributed caching layer using Redis for frequently accessed data.",MSc,Computer Science,8.07,1.2,28,0
Michaela Perez,"Michaela Perez is a BSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as Node.js, C++, React, HTML, Python, Django. Work Highlights: - Designed and developed a user role and permission management system for an enterprise application. - Developed custom shaders and rendering pipelines in Unity for a 3D simulation.",BSc,Computer Science,8.77,3.9,21,0
Thomas Thornton,"Thomas Thornton is a BSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as C++, Django, HTML, JavaScript. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",BSc,Electronics,9.23,3.9,22,0
Jennifer Strong,"Jennifer Strong is a M.Tech graduate with 2.7 years of experience in software development. They are proficient in technologies such as React, Java, Python, JavaScript, Node.js. Work Highlights: - Automated testing of API endpoints using Postman and Newman for regression testing. - Improved build times for a large JavaScript project using Webpack optimizations.",M.Tech,Information Technology,8.22,2.7,28,1
David Townsend,"David Townsend is a M.Tech graduate with 3.2 years of experience in software development. They are proficient in technologies such as HTML, CSS, SQL, Java, C++, Python. Work Highlights: - Implemented a data migration script from SQL Server to PostgreSQL using Python. - Developed custom API gateways with Kong for microservices orchestration and security.",M.Tech,Information Technology,6.53,3.2,30,0
Tammy Terry,"Tammy Terry is a BSc graduate with 3.5 years of experience in software development. They are proficient in technologies such as C++, Node.js, CSS, Django, JavaScript, HTML. Work Highlights: - Developed a command-line interface (CLI) tool in Python for cloud resource management. - Built a secure payment gateway integration using PCI DSS compliance standards.",BSc,Computer Science,7.43,3.5,32,0
Joseph Brown,"Joseph Brown is a B.Tech graduate with 2.1 years of experience in software development. They are proficient in technologies such as C++, Node.js, Java. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Optimized database connection pooling and transaction management in a Java application.",B.Tech,Electronics,7.39,2.1,27,0
Andrew Davis,"Andrew Davis is a MSc graduate with 2.4 years of experience in software development. They are proficient in technologies such as Python, JavaScript, SQL, React, Django. Work Highlights: - Designed and implemented a distributed caching layer using Redis for frequently accessed data. - Contributed to the design and implementation of a new database indexing strategy.",MSc,Information Technology,7.56,2.4,30,1
Jeffrey Blackwell,"Jeffrey Blackwell is a M.Tech graduate with 0.6 years of experience in software development. They are proficient in technologies such as Python, Node.js, CSS. Work Highlights: - Implemented distributed tracing with OpenTelemetry for microservices monitoring. - Developed a desktop application using Java Swing for inventory management.",M.Tech,Computer Science,7.9,0.6,28,0
Carol Cohen,"Carol Cohen is a B.Tech graduate with 4.5 years of experience in software development. They are proficient in technologies such as Django, JavaScript, React. Work Highlights: - Contributed to the design and implementation of a new database indexing strategy. - Collaborated on an Android application development using Kotlin, improving UI responsiveness.",B.Tech,Electronics,8.98,4.5,33,0
Isaiah Mcgee,"Isaiah Mcgee is a M.Tech graduate with 4.0 years of experience in software development. They are proficient in technologies such as CSS, JavaScript, Java, React, HTML. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Contributed to the development of a real-time analytics dashboard with Apache Flink.",M.Tech,Electronics,8.98,4.0,34,1
Henry Hernandez,"Henry Hernandez is a MSc graduate with 4.0 years of experience in software development. They are proficient in technologies such as SQL, CSS, C++. Work Highlights: - Developed micro-frontends with Web Components for a modular application architecture. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",MSc,Electronics,9.49,4.0,27,0
Lori Franco,"Lori Franco is a B.Tech graduate with 4.7 years of experience in software development. They are proficient in technologies such as HTML, Node.js, Python. Work Highlights: - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service. - Built a scalable data warehousing solution using Amazon Redshift and ETL processes.",B.Tech,Information Technology,6.08,4.7,27,0
Cory Williams,"Cory Williams is a BSc graduate with 4.0 years of experience in software development. They are proficient in technologies such as Node.js, HTML, Python, SQL, JavaScript. Work Highlights: - Configured and maintained Prometheus and Grafana for system monitoring and alerting. - Developed a component library with Storybook and React for consistent UI development.",BSc,Electronics,6.49,4.0,23,0
John Merritt,"John Merritt is a MSc graduate with 3.3 years of experience in software development. They are proficient in technologies such as Node.js, HTML, SQL. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Developed a component library with Storybook and React for consistent UI development.",MSc,Information Technology,7.15,3.3,32,0
Christopher Scott,"Christopher Scott is a MSc graduate with 2.2 years of experience in software development. They are proficient in technologies such as Java, C++, CSS, Python. Work Highlights: - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations. - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app.",MSc,Electronics,9.5,2.2,31,1
Brian Davidson,"Brian Davidson is a BSc graduate with 2.4 years of experience in software development. They are proficient in technologies such as Python, React, Java. Work Highlights: - Managed package dependencies and build processes with npm and Yarn. - Developed a machine learning model in Python using TensorFlow, achieving 92% accuracy on a classification task.",BSc,Electronics,8.48,2.4,26,1
Erik Velasquez,"Erik Velasquez is a M.Tech graduate with 5.7 years of experience in software development. They are proficient in technologies such as Django, Node.js, C++, Python. Work Highlights: - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times. - Configured and maintained Prometheus and Grafana for system monitoring and alerting.",M.Tech,Information Technology,9.48,5.7,35,0
Christopher Bullock,"Christopher Bullock is a MSc graduate with 3.8 years of experience in software development. They are proficient in technologies such as React, C++, Django, SQL, CSS. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",MSc,Computer Science,8.46,3.8,32,0
Leah Myers,"Leah Myers is a B.Tech graduate with 3.1 years of experience in software development. They are proficient in technologies such as SQL, JavaScript, HTML, C++, Python. Work Highlights: - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app. - Automated testing of API endpoints using Postman and Newman for regression testing.",B.Tech,Electronics,7.67,3.1,32,1
Stephanie Flores,"Stephanie Flores is a BSc graduate with 5.2 years of experience in software development. They are proficient in technologies such as C++, HTML, CSS. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Contributed to a high-performance message broker in Go, handling millions of messages daily.",BSc,Electronics,9.4,5.2,34,0
Tanya King,"Tanya King is a B.Tech graduate with 0.0 years of experience in software development. They are proficient in technologies such as CSS, React, Node.js. Work Highlights: - Optimized database connection pooling and transaction management in a Java application. - Developed a chatbot using natural language processing (NLP) with spaCy and Python.",B.Tech,Electronics,9.19,0.0,33,0
Tiffany Carlson,"Tiffany Carlson is a BSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as Node.js, React, C++, CSS. Work Highlights: - Developed a machine learning model in Python using TensorFlow, achieving 92% accuracy on a classification task. - Configured and managed Kubernetes Ingress controllers for external access.",BSc,Computer Science,6.71,5.1,35,0
Krystal Davis,"Krystal Davis is a BSc graduate with 3.4 years of experience in software development. They are proficient in technologies such as C++, Python, Django, React, HTML, JavaScript. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Optimized database connection pooling and transaction management in a Java application.",BSc,Computer Science,8.74,3.4,21,1
Danny Russell,"Danny Russell is a M.Tech graduate with 3.0 years of experience in software development. They are proficient in technologies such as React, CSS, HTML, C++. Work Highlights: - Implemented robust data backup and recovery strategies for critical application data. - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times.",M.Tech,Computer Science,8.93,3.0,27,0
Megan Smith,"Megan Smith is a MSc graduate with 3.1 years of experience in software development. They are proficient in technologies such as SQL, HTML, React, Python. Work Highlights: - Developed a simulation environment in Python for testing robotic control algorithms. - Created comprehensive API documentation using Swagger/OpenAPI for developer consumption.",MSc,Information Technology,9.57,3.1,32,1
Brenda Poole,"Brenda Poole is a M.Tech graduate with 2.2 years of experience in software development. They are proficient in technologies such as Python, CSS, Node.js, HTML. Work Highlights: - Implemented server-side logging with Log4j and centralized logging with Splunk. - Developed a browser extension with JavaScript to enhance user productivity.",M.Tech,Information Technology,7.39,2.2,31,0
John Burgess,"John Burgess is a B.Tech graduate with 4.6 years of experience in software development. They are proficient in technologies such as HTML, CSS, Django, React, JavaScript, Python. Work Highlights: - Implemented serverless functions using Google Cloud Functions for event-driven tasks. - Configured and managed Kubernetes Ingress controllers for external access.",B.Tech,Information Technology,9.25,4.6,31,1
Megan Shaw,"Megan Shaw is a MSc graduate with 4.9 years of experience in software development. They are proficient in technologies such as Node.js, React, Django, CSS, JavaScript. Work Highlights: - Configured Nginx as a reverse proxy and load balancer for microservices deployments. - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times.",MSc,Electronics,7.01,4.9,24,0
Jacqueline Deleon,"Jacqueline Deleon is a MSc graduate with 4.4 years of experience in software development. They are proficient in technologies such as SQL, React, HTML. Work Highlights: - Built a cross-platform mobile app using React Native, delivering a consistent user experience. - Developed a command-line interface (CLI) tool in Python for cloud resource management.",MSc,Computer Science,7.76,4.4,24,0
Daniel Castro,"Daniel Castro is a B.Tech graduate with 2.9 years of experience in software development. They are proficient in technologies such as React, JavaScript, HTML, C++, CSS. Work Highlights: - Assisted in the transition from SVN to Git, providing training and support to the development team. - Optimized image delivery using WebP format and responsive image techniques.",B.Tech,Computer Science,8.69,2.9,30,0
Christopher Cortez,"Christopher Cortez is a B.Tech graduate with 4.7 years of experience in software development. They are proficient in technologies such as Python, C++, SQL, Django, Node.js. Work Highlights: - Configured and managed Kubernetes Ingress controllers for external access. - Developed custom shaders and rendering pipelines in Unity for a 3D simulation.",B.Tech,Electronics,9.56,4.7,30,1
Kelly Powell,"Kelly Powell is a BSc graduate with 2.2 years of experience in software development. They are proficient in technologies such as JavaScript, HTML, Django, Java, SQL, Python. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",BSc,Electronics,7.68,2.2,23,1
Lynn Williams,"Lynn Williams is a MSc graduate with 0.3 years of experience in software development. They are proficient in technologies such as CSS, React, SQL, Django, Python, HTML. Work Highlights: - Designed and optimized SQL queries for a PostgreSQL database, improving report generation time by 15%. - Automated testing of API endpoints using Postman and Newman for regression testing.",MSc,Computer Science,6.77,0.3,29,0
Thomas Massey,"Thomas Massey is a M.Tech graduate with 2.7 years of experience in software development. They are proficient in technologies such as HTML, Python, Node.js. Work Highlights: - Implemented server-side logging with Log4j and centralized logging with Splunk. - Developed a desktop application using Java Swing for inventory management.",M.Tech,Computer Science,8.8,2.7,29,0
Nicole Henderson,"Nicole Henderson is a BSc graduate with 4.0 years of experience in software development. They are proficient in technologies such as Django, HTML, JavaScript. Work Highlights: - Developed a desktop application using C# and WPF for internal tooling. - Developed a custom analytics dashboard using Power BI, integrating with various data sources.",BSc,Electronics,6.17,4.0,30,0
Brenda Williams,"Brenda Williams is a M.Tech graduate with 0.1 years of experience in software development. They are proficient in technologies such as Django, CSS, Python. Work Highlights: - Performed security audits and penetration testing on web applications to identify vulnerabilities. - Optimized Ruby on Rails application performance by refactoring ActiveRecord queries and caching strategies.",M.Tech,Information Technology,8.92,0.1,29,0
Lawrence Fletcher,"Lawrence Fletcher is a M.Tech graduate with 4.5 years of experience in software development. They are proficient in technologies such as Java, Node.js, JavaScript, HTML, SQL. Work Highlights: - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform. - Developed a simulation environment in Python for testing robotic control algorithms.",M.Tech,Information Technology,7.68,4.5,30,1
Brenda Schmidt,"Brenda Schmidt is a M.Tech graduate with 3.0 years of experience in software development. They are proficient in technologies such as Django, React, CSS, SQL. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Implemented robust data backup and recovery strategies for critical application data.",M.Tech,Computer Science,9.94,3.0,24,0
Annette Stewart,"Annette Stewart is a M.Tech graduate with 5.9 years of experience in software development. They are proficient in technologies such as C++, HTML, Django, Python, JavaScript. Work Highlights: - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data. - Optimized front-end asset loading using CDN and image optimization techniques.",M.Tech,Electronics,7.55,5.9,30,0
Brian Brown,"Brian Brown is a M.Tech graduate with 2.7 years of experience in software development. They are proficient in technologies such as React, Python, Node.js, CSS, Java. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Developed algorithms for optimal resource allocation in a cloud computing environment using Python.",M.Tech,Information Technology,9.8,2.7,33,1
Whitney Garcia,"Whitney Garcia is a B.Tech graduate with 4.1 years of experience in software development. They are proficient in technologies such as Django, Python, HTML, React, CSS, JavaScript. Work Highlights: - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",B.Tech,Electronics,8.16,4.1,34,1
Joshua Riley,"Joshua Riley is a B.Tech graduate with 4.6 years of experience in software development. They are proficient in technologies such as Node.js, CSS, Django, C++, Python, SQL. Work Highlights: - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service. - Created serverless APIs using Azure Functions and C# for event-driven processing.",B.Tech,Computer Science,9.17,4.6,28,1
Joseph Williams,"Joseph Williams is a MSc graduate with 3.6 years of experience in software development. They are proficient in technologies such as SQL, Python, React, CSS. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Developed custom API gateways with Kong for microservices orchestration and security.",MSc,Electronics,9.02,3.6,24,1
Colleen Soto,"Colleen Soto is a MSc graduate with 4.0 years of experience in software development. They are proficient in technologies such as Node.js, CSS, Django. Work Highlights: - Configured Nginx as a reverse proxy and load balancer for microservices deployments. - Built a Progressive Web App (PWA) with Service Workers for offline capabilities.",MSc,Electronics,7.73,4.0,25,0
Henry Rodriguez,"Henry Rodriguez is a BSc graduate with 0.3 years of experience in software development. They are proficient in technologies such as HTML, Python, SQL, Java. Work Highlights: - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability. - Developed a machine learning model in Python using TensorFlow, achieving 92% accuracy on a classification task.",BSc,Information Technology,6.81,0.3,25,0
Shannon Mills,"Shannon Mills is a BSc graduate with 2.1 years of experience in software development. They are proficient in technologies such as JavaScript, Java, SQL. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Implemented robust caching strategies using Memcached for frequently accessed data.",BSc,Electronics,9.0,2.1,29,1
Colin Davis,"Colin Davis is a BSc graduate with 1.6 years of experience in software development. They are proficient in technologies such as CSS, React, HTML, JavaScript. Work Highlights: - Developed a desktop application using C# and WPF for internal tooling. - Implemented secure REST endpoints and data encryption for a healthcare application.",BSc,Electronics,8.04,1.6,21,0
John Walton,"John Walton is a M.Tech graduate with 4.1 years of experience in software development. They are proficient in technologies such as Node.js, CSS, Django. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery.",M.Tech,Information Technology,6.63,4.1,31,0
Ronald Meyer,"Ronald Meyer is a M.Tech graduate with 5.8 years of experience in software development. They are proficient in technologies such as CSS, React, Python, Java. Work Highlights: - Developed interactive data visualizations using D3.js for business intelligence dashboards. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",M.Tech,Information Technology,9.5,5.8,21,1
